site name,site number,Latitude,Longitude,Locality,State
Kalumburu,1019,14.30 °S,126.65 °E,Kalumburu,WA
Halls Creek,2079,18.23 °S,127.67 °E,Halls Creek,WA
Broome,3003,17.95 °S,122.24 °E,Broome,WA
Port Hedland,4032,20.37 °S,118.63 °E,Port Hedland,WA
Marble Bar,4106,21.18 °S,119.75 °E,Marble Bar,WA
Learmonth,5007,22.24 °S,114.10 °E,Learmonth,WA
Karijini North (Wittenoom),5098,22.30 °S,118.45 °E,Wittenoom,WA
Carnarvon,6011,24.89 °S,113.67 °E,Carnarvon,WA
Meekatharra,7045,26.61 °S,118.54 °E,Meekatharra,WA
Morawa,8296,29.20 °S,116.02 °E,Morawa,WA
Dalwallinu,8297,30.28 °S,116.67 °E,Dalwallinu,WA
Geraldton,8315,28.80 °S,114.70 °E,Geraldton,WA
Perth Airport,9021,31.93 °S,115.98 °E,Perth,WA
Cape Leeuwin,9518,34.37 °S,115.14 °E,Augusta,WA
Bridgetown,9617,33.95 °S,116.13 °E,Bridgetown,WA
Esperance,9789,33.83 °S,121.89 °E,Esperance,WA
Albany,9999,34.94 °S,117.82 °E,Albany,WA
Merredin,10092,31.48 °S,118.28 °E,Merredin,WA
Cunderdin,10286,31.62 °S,117.22 °E,Cunderdin,WA
Katanning,10916,33.69 °S,117.61 °E,Katanning,WA
Wandering,10917,32.67 °S,116.67 °E,Wandering,WA
Eucla,11003,31.68 °S,128.90 °E,Eucla,WA
Forrest,11052,30.85 °S,128.11 °E,Forrest,WA
Kalgoorlie-Boulder,12038,30.78 °S,121.45 °E,Kalgoorlie,WA
Giles,13017,25.03 °S,128.30 °E,Giles,SA
Darwin,14015,12.42 °S,130.89 °E,Darwin,NT
Victoria River Downs,14825,16.40 °S,131.01 °E,Victoria North,NT
Tennant Creek,15135,19.64 °S,134.18 °E,Tennant Creek,NT
Alice Springs,15590,23.80 °S,133.89 °E,Alice Springs,NT
Rabbit Flat,15666,20.18 °S,130.01 °E,Tanami,NT
Woomera,16001,31.16 °S,136.81 °E,Woomera,SA
Tarcoola,16098,30.71 °S,134.58 °E,Tarcoola,SA
Oodnadatta,17043,27.56 °S,135.45 °E,Oodnadatta,SA
Marree,17126,29.66 °S,138.07 °E,Marree,SA
Ceduna,18012,32.13 °S,133.70 °E,Ceduna,SA
Kyancutta,18044,33.13 °S,135.55 °E,Kyancutta,SA
Port Lincoln,18192,34.60 °S,135.88 °E,North Shields,SA
Snowtown,21133,33.77 °S,138.22 °E,Snowtown,SA
Cape Borda,22823,35.75 °S,136.60 °E,Cape Borda,SA
Adelaide,23000,34.93 °S,138.58 °E,Adelaide,SA
Nuriootpa,23373,34.48 °S,139.01 °E,Nuriootpa,SA
Mount Gambier,26021,37.75 °S,140.77 °E,Mount Gambier,SA
Robe,26026,37.16 °S,139.76 °E,Robe,SA
Weipa,27045,12.68 °S,141.92 °E,Weipa,Qld
Horn Island,27058,10.58 °S,142.29 °E,Horn Island,Qld
Palmerville,28004,16.00 °S,144.08 °E,Palmerville,Qld
Normanton,29063,17.69 °S,141.07 °E,Normanton,Qld
Burketown,29077,17.75 °S,139.54 °E,Burketown,Qld
Georgetown,30124,18.30 °S,143.53 °E,Georgetown,Qld
Richmond (Qld),30161,20.70 °S,143.12 °E,Richmond (Qld),Qld
Cairns,31011,16.87 °S,145.75 °E,Cairns,Qld
Townsville,32040,19.25 °S,146.77 °E,Townsville,Qld
Mackay,33119,21.12 °S,149.22 °E,Mackay,Qld
Charters Towers,34084,20.05 °S,146.27 °E,Charters Towers,Qld
Barcaldine,36007,23.55 °S,145.29 °E,Barcaldine,Qld
Longreach,36031,23.44 °S,144.28 °E,Longreach,Qld
Camooweal,37010,19.92 °S,138.12 °E,Camooweal,Qld
Boulia,38003,22.91 °S,139.90 °E,Boulia,Qld
Birdsville,38026,25.90 °S,139.35 °E,Birdsville,Qld
Gayndah,39066,25.62 °S,151.62 °E,Gayndah,Qld
Rockhampton,39083,23.38 °S,150.48 °E,Rockhampton,Qld
Bundaberg,39128,24.91 °S,152.32 °E,Bundaberg,Qld
Amberley,40004,27.63 °S,152.71 °E,Amberley,Qld
Cape Moreton,40043,27.03 °S,153.47 °E,Cape Moreton,Qld
Brisbane Airport,40842,27.39 °S,153.13 °E,Brisbane,Qld
Miles,42112,26.66 °S,150.18 °E,Miles,Qld
St George,43109,28.05 °S,148.59 °E,St George,Qld
Charleville,44021,26.41 °S,146.26 °E,Charleville,Qld
Thargomindah,45025,27.99 °S,143.81 °E,Thargomindah,Qld
Wilcannia,46012,31.52 °S,143.38 °E,Wilcannia,NSW
Tibooburra,46126,29.44 °S,142.06 °E,Tibooburra,NSW
Cobar,48027,31.48 °S,145.83 °E,Cobar,NSW
Bourke,48245,30.04 °S,145.95 °E,Bourke,NSW
West Wyalong,50017,33.94 °S,147.20 °E,Wyalong,NSW
Walgett,52088,30.04 °S,148.12 °E,Walgett,NSW
Moree,53115,29.49 °S,149.85 °E,Moree,NSW
Gunnedah,55024,31.03 °S,150.27 °E,Gunnedah,NSW
Inverell,56242,29.78 °S,151.11 °E,Inverell,NSW
Yamba,58012,29.43 °S,153.36 °E,Yamba,NSW
Coffs Harbour,59151,30.32 °S,153.12 °E,Coffs Harbour,NSW
Port Macquarie,60168,31.43 °S,152.87 °E,Port Macquarie,NSW
Williamtown,61078,32.79 °S,151.84 °E,Williamtown,NSW
Scone,61363,32.03 °S,150.83 °E,Scone,NSW
Bathurst,63005,33.43 °S,149.56 °E,Bathurst,NSW
Dubbo,65070,32.22 °S,148.58 °E,Dubbo,NSW
Sydney,66214,33.86 °S,151.20 °E,Sydney,NSW
Richmond (NSW),67105,33.60 °S,150.78 °E,Richmond (NSW),NSW
Nowra,68072,34.95 °S,150.54 °E,Nowra,NSW
Point Perpendicular,68151,35.09 °S,150.80 °E,Jervis Bay,NSW
Moruya Heads,69018,35.91 °S,150.15 °E,Moruya Heads,NSW
Canberra,70351,35.31 °S,149.20 °E,Canberra,ACT
Wagga Wagga,72150,35.16 °S,147.46 °E,Wagga Wagga,NSW
Cabramurra,72161,35.94 °S,148.38 °E,Cabramurra,NSW
Deniliquin,74258,35.56 °S,144.95 °E,Deniliquin,NSW
Mildura,76031,34.24 °S,142.09 °E,Mildura,Vic
Nhill,78015,36.31 °S,141.65 °E,Nhill,Vic
Kerang,80023,35.72 °S,143.92 °E,Kerang,Vic
Rutherglen,82039,36.10 °S,146.51 °E,Rutherglen,Vic
Gabo Island,84016,37.57 °S,149.92 °E,Gabo Island,Vic
Orbost,84145,37.69 °S,148.47 °E,Orbost,Vic
Sale,85072,38.12 °S,147.13 °E,Sale,Vic
Wilsons Promontory,85096,39.13 °S,146.42 °E,Wilsons Promontory,Vic
Melbourne,86338,37.83 °S,144.98 °E,Melbourne,Vic
Laverton,87031,37.86 °S,144.76 °E,Laverton,Vic
Cape Otway,90015,38.86 °S,143.51 °E,Cape Otway,Vic
Low Head,91293,41.05 °S,146.79 °E,Low Head,Tas
Launceston Airport,91311,41.55 °S,147.22 °E,Launceston Airport,Tas
larapuna (Eddystone Point),92045,40.99 °S,148.35 °E,Eddystone Point,Tas
Hobart,94029,42.89 °S,147.33 °E,Hobart,Tas
Cape Bruny,94198,43.49 °S,147.14 °E,Bruny Island,Tas
Grove,94220,42.99 °S,147.07 °E,Grove,Tas
Butlers Gorge,96003,42.28 °S,146.28 °E,Butlers Gorge,Tas