Year,Age group,Total Case Number
2008,00-04,1353
2008,15-19,712
2008,20-24,605
2008,25-29,535
2008,30-34,480
2008,35-39,580
2008,40-44,432
2008,45-49,510
2008,05-09,722
2008,50-54,420
2008,55-59,455
2008,60-64,343
2008,65-69,255
2008,70-74,243
2008,75-79,206
2008,80-84,193
2008,85+,192
2008,10-14,692
2009,00-04,5667
2009,15-19,7106
2009,20-24,5784
2009,25-29,5132
2009,30-34,3587
2009,35-39,3449
2009,40-44,2903
2009,45-49,2806
2009,05-09,6654
2009,50-54,2629
2009,55-59,1726
2009,60-64,1072
2009,65-69,627
2009,70-74,473
2009,75-79,368
2009,80-84,254
2009,85+,234
2009,10-14,7236
2010,00-04,1599
2010,15-19,1013
2010,20-24,1020
2010,25-29,1159
2010,30-34,954
2010,35-39,902
2010,40-44,842
2010,45-49,775
2010,05-09,1314
2010,50-54,744
2010,55-59,589
2010,60-64,430
2010,65-69,294
2010,70-74,238
2010,75-79,178
2010,80-84,157
2010,85+,100
2010,10-14,1043
2011,00-04,3729
2011,15-19,1706
2011,20-24,1723
2011,25-29,2059
2011,30-34,1927
2011,35-39,1845
2011,40-44,1593
2011,45-49,1311
2011,05-09,3136
2011,50-54,1239
2011,55-59,1042
2011,60-64,975
2011,65-69,688
2011,70-74,623
2011,75-79,473
2011,80-84,426
2011,85+,395
2011,10-14,2036
2012,00-04,6577
2012,15-19,2267
2012,20-24,2101
2012,25-29,2515
2012,30-34,2800
2012,35-39,2947
2012,40-44,2587
2012,45-49,2023
2012,05-09,5052
2012,50-54,1841
2012,55-59,1758
2012,60-64,1776
2012,65-69,1528
2012,70-74,1324
2012,75-79,1367
2012,80-84,1186
2012,85+,1592
2012,10-14,2603
2013,00-04,3183
2013,15-19,1146
2013,20-24,1041
2013,25-29,1356
2013,30-34,1942
2013,35-39,2103
2013,40-44,2119
2013,45-49,1674
2013,05-09,3048
2013,50-54,1652
2013,55-59,1647
2013,60-64,1350
2013,65-69,1093
2013,70-74,800
2013,75-79,682
2013,80-84,581
2013,85+,613
2013,10-14,1646
2014,00-04,8280
2014,15-19,3255
2014,20-24,2869
2014,25-29,3619
2014,30-34,4630
2014,35-39,4750
2014,40-44,4740
2014,45-49,3960
2014,05-09,5463
2014,50-54,3679
2014,55-59,3671
2014,60-64,3250
2014,65-69,2710
2014,70-74,2034
2014,75-79,2019
2014,80-84,1851
2014,85+,2417
2014,10-14,3191
2015,00-04,10856
2015,15-19,6483
2015,20-24,4687
2015,25-29,5222
2015,30-34,6030
2015,35-39,5767
2015,40-44,5684
2015,45-49,4800
2015,05-09,13652
2015,50-54,4467
2015,55-59,4266
2015,60-64,3994
2015,65-69,3663
2015,70-74,3009
2015,75-79,2862
2015,80-84,2485
2015,85+,3535
2015,10-14,7926
2016,00-04,8530
2016,15-19,5131
2016,20-24,4177
2016,25-29,4417
2016,30-34,5299
2016,35-39,5175
2016,40-44,4861
2016,45-49,4825
2016,05-09,7218
2016,50-54,4777
2016,55-59,4809
2016,60-64,4492
2016,65-69,4153
2016,70-74,3663
2016,75-79,3636
2016,80-84,3401
2016,85+,5901
2016,10-14,4936
2017,00-04,24223
2017,15-19,13322
2017,20-24,10707
2017,25-29,9330
2017,30-34,12505
2017,35-39,14172
2017,40-44,13809
2017,45-49,13641
2017,05-09,27132
2017,50-54,12864
2017,55-59,13414
2017,60-64,12305
2017,65-69,10997
2017,70-74,9945
2017,75-79,9178
2017,80-84,8778
2017,85+,15155
2017,10-14,16607
2018,00-04,6539
2018,15-19,2249
2018,20-24,2418
2018,25-29,2929
2018,30-34,3461
2018,35-39,4020
2018,40-44,3688
2018,45-49,3591
2018,05-09,6891
2018,50-54,3241
2018,55-59,3437
2018,60-64,3146
2018,65-69,2573
2018,70-74,2160
2018,75-79,1746
2018,80-84,1460
2018,85+,1829
2018,10-14,2797
2019,00-04,6145
2019,15-19,2969
2019,20-24,2962
2019,25-29,3688
2019,30-34,3906
2019,35-39,3432
2019,40-44,2340
2019,45-49,2056
2019,05-09,7983
2019,50-54,1913
2019,55-59,2205
2019,60-64,2152
2019,65-69,1832
2019,70-74,1804
2019,75-79,1511
2019,80-84,1422
2019,85+,2235
2019,10-14,4582
2020,00-04,1729
2020,15-19,862
2020,20-24,1078
2020,25-29,1433
2020,30-34,1736
2020,35-39,1673
2020,40-44,1462
2020,45-49,1495
2020,05-09,1859
2020,50-54,1427
2020,55-59,1321
2020,60-64,1182
2020,65-69,928
2020,70-74,796
2020,75-79,617
2020,80-84,397
2020,85+,381
2020,10-14,1075
2021,00-04,78
2021,15-19,33
2021,20-24,43
2021,25-29,53
2021,30-34,35
2021,35-39,41
2021,40-44,48
2021,45-49,34
2021,05-09,21
2021,50-54,50
2021,55-59,43
2021,60-64,76
2021,65-69,59
2021,70-74,38
2021,75-79,33
2021,80-84,22
2021,85+,28
2021,10-14,20
2022,00-04,28961
2022,15-19,21200
2022,20-24,15534
2022,25-29,13981
2022,30-34,15619
2022,35-39,16454
2022,40-44,12857
2022,45-49,9182
2022,05-09,36136
2022,50-54,7745
2022,55-59,6529
2022,60-64,6199
2022,65-69,4556
2022,70-74,3949
2022,75-79,3126
2022,80-84,2321
2022,85+,2718
2022,10-14,24137