number,state,sex
3984166,New South Wales,Male
4087995,New South Wales,Female
3200963,Victoria,Male
3302528,Victoria,Female
2540404,Queensland,Male
2615736,Queensland,Female
878592,South Australia,Male
902924,South Australia,Female
1322855,Western Australia,Male
1337171,Western Australia,Female
273765,Tasmania,Male
283804,Tasmania,Female
117526,Northern Territory,Male
115075,Northern Territory,Female
224361,Australian Capital Territory,Male
230140,Australian Capital Territory,Female